date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:41	139591/139591	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20May%202024%2005:34:00%20GMT	https://gulshangroup.com/	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/index.html	(from )
11:28:41	127/127	---M-Z	200	added ('OK')	text/plain	date:Thu,%2009%20May%202024%2005:58:40%20GMT	https://gulshangroup.com/robots.txt		(from )
11:28:42	93139/93139	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2005:58:41%20GMT	https://gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/apple-touch-icon.png	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/apple-touch-icon.png	(from https://gulshangroup.com/)
11:28:43	93136/93136	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2005:58:42%20GMT	https://gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/favicon-32x32.png	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/favicon-32x32.png	(from https://gulshangroup.com/)
11:28:44	93136/93136	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2005:58:43%20GMT	https://gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/favicon-16x16.png	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/favicon-16x16.png	(from https://gulshangroup.com/)
11:28:45	93140/93140	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202024%2005:58:44%20GMT	https://gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/safari-pinned-tab.svg	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/themes/bootscore-child-main/img/favicon/safari-pinned-tab.svg	(from https://gulshangroup.com/)
11:28:45	3369/3369	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2010:59:25%20GMT	https://gulshangroup.com/wp-content/cache/min/1/ajax/libs/lity/2.4.1/lity.min.css?ver=1713783565	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/cache/min/1/ajax/libs/lity/2.4.1/lity.min371a.css	(from https://gulshangroup.com/)
11:28:45	3211/3211	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2006:34:59%20GMT	https://gulshangroup.com/wp-content/cache/background-css/gulshangroup.com/wp-content/cache/min/1/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css?ver=1713783565&wpr_t=1715232840	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/cache/background-css/gulshangroup.com/wp-content/cache/min/1/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min76b4.css	(from https://gulshangroup.com/)
11:28:45	846/846	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2010:59:26%20GMT	https://gulshangroup.com/wp-content/cache/min/1/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css?ver=1713783566	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/cache/min/1/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min8554.css	(from https://gulshangroup.com/)
11:28:45	16241/16241	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2010:59:26%20GMT	https://gulshangroup.com/wp-content/cache/min/1/ajax/libs/Swiper/8.4.5/swiper-bundle.css?ver=1713783566	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/cache/min/1/ajax/libs/Swiper/8.4.5/swiper-bundle8554.css	(from https://gulshangroup.com/)
11:28:46	78461/78461	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2006:34:59%20GMT	https://gulshangroup.com/wp-content/cache/background-css/gulshangroup.com/wp-content/cache/min/1/wp-content/themes/bootscore-child-main/styles.css?ver=1713783566&wpr_t=1715232840	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/cache/background-css/gulshangroup.com/wp-content/cache/min/1/wp-content/themes/bootscore-child-main/stylesa2f3.css	(from https://gulshangroup.com/)
11:28:46	17752/17752	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20May%202024%2006:34:59%20GMT	https://gulshangroup.com/wp-content/cache/background-css/gulshangroup.com/wp-content/cache/min/1/wp-content/themes/bootscore-child-main/styless.css?ver=1713783566&wpr_t=1715232840	C:/Users/nisha/OneDrive/Desktop/realty/gulshangroup.com/wp-content/cache/background-css/gulshangroup.com/wp-content/cache/min/1/wp-content/themes/bootscore-child-main/stylessa2f3.css	(from https://gulshangroup.com/)
